Código,Nome,Nome (Inglês),Nome Científico,Grupo,Marca
C0400A,"Amaranto, grão, cru","Amaranthus, grain, raw",Amaranthus cruentus L.,Cereais e derivados,
C0213K,Ameixa de queijo,Brazilian sweet,,Produtos açucarados,
C0005C,"Ameixa, c/ casca, in natura","Plum, with peel, raw",Prunus domestica,Frutas e derivados,
C0186C,"Ameixa, em calda, enlatada, drenada","Plum, in syrup, canned, drained",,Frutas e derivados,
C0181C,"Ameixa, seca",Prune,,Frutas e derivados,
C0011U,"Amêndoa, crua, s/ sal","Nuts, almond, unsalted",Prunua amygdalus L.,Sementes e Oleaginosas,
C0001U,"Amêndoa, torrada, c/ sal","Almond, toasted, with salt",Arábic amygdalu var. Dulcis,Sementes e Oleaginosas,
C0018U,"Amêndoa, torrada, caramelizada","Almond, toasted, caramelized",,Sementes e Oleaginosas,
C0192T,"Amendoim, caramelizado","Peanut, caramelized",,Leguminosas e derivados,
C0020T,"Amendoim, grão, cru","Peanut, grain, raw",Arachis hypogaea L.,Leguminosas e derivados,
C0021T,"Amendoim, torrado, c/ sal","Peanut, roasted, with salt",Arachis hypogaea L.,Leguminosas e derivados,
C0170C,"Amora preta, in natura","Blackberry, raw",Rubus ssp.,Frutas e derivados,
C0669A,"Angu à baiana, polenta, c/ molho bolonhesa, c/ sal","Brazilian recipe, with polenta, with bolognese sauce, with salt",,Cereais e derivados,
C0816B,"Angu a baiana, polenta, c/ molho de carne bovina, c/ sal","Brazilian recipe, with polenta, with beef sauce, with salt",,Vegetais e derivados,
C0006F,"Apresuntado, cozido (média de diferentes marcas)","Ham, pork, cooked (average of several brands)",,Carnes e derivados,
C0007F,"Apresuntado, fatiado, cozido","Ham, pork, sliced, cooked",,Carnes e derivados,Sadia
C0008F,"Apresuntado, metro, cozido","Ham, pork, cooked",,Carnes e derivados,Seara
C0009F,"Apresuntado, retangular, cozido","Ham, pork, cooked",,Carnes e derivados,Seara
C0228C,"Araça, polpa, com casca, sem semente, in natura","Brazilian fruit ´Araça´, pulp, with shell, seedless, raw",Psidium cattleianum,Frutas e derivados,
C0506A,"Arroz à grega, c/ arroz integral, c/ sal","Brazilian recipe, with brown rice, with salt",,Cereais e derivados,
C0858A,"Arroz à grega, c/ arroz integral, s/ sal","Brazilian recipe, with brown rice, unsalted",,Cereais e derivados,
C0503A,"Arroz à grega, c/ arroz polido, c/ sal","Brazilian recipe, with white rice, with salt",,Cereais e derivados,
C0504A,"Arroz à grega, c/ arroz polido, s/ sal","Brazilian recipe, with white rice, unsalted",,Cereais e derivados,
C0716A,"Arroz ao molho pardo (arroz de cabidela), c/ arroz polido, c/ sal","Brazilian recipe, with white rice, with blood chicken, with salt",,Cereais e derivados,
C0511A,"Arroz caipira, c/ arroz integral, c/ sal","Brazilian recipe, with chicken, with brown rice, with salt",,Cereais e derivados,
C0512A,"Arroz caipira, c/ arroz integral, s/ sal","Brazilian recipe, with chicken, with brown rice, unsalted",,Cereais e derivados,
C0509A,"Arroz caipira, c/ arroz polido, c/ sal","Brazilian recipe, with chicken, with white rice, with salt",,Cereais e derivados,
C0510A,"Arroz caipira, c/ arroz polido, s/ sal","Brazilian recipe, with chicken, with white rice, unsalted",,Cereais e derivados,
C0887A,"Arroz carreteiro, c/ sal","Brazilian recipe, with rice and jerked beef, with salt",,Cereais e derivados,
C0187A,"Arroz carreteiro, s/ sal","Brazilian recipe, with rice and jerked beef, unsalted",,Cereais e derivados,
C0514A,"Arroz chop suey, c/ arroz integral, c/ molho shoyu","Chop suey rice, whit brown rice, with shoyu sauce",,Cereais e derivados,
C0515A,"Arroz chop suey, c/ arroz integral, s/ sal","Chop suey rice, with brown rice, unsalted",,Cereais e derivados,
C0717A,"Arroz chop suey, c/ arroz polido, c/ molho shoyu","Chop suey rice, with white rice, with shoyu sauce",,Cereais e derivados,
C0513A,"Arroz chop suey, c/ arroz polido, s/ sal","Chop suey rice, with white rice, unsalted",,Cereais e derivados,
C1025A,"Arroz com abobrinha, c/ óleo, cebola e alho, c/ sal","Rice with zucchini, with oil, onion and garlic, with salt",,Cereais e derivados,
C1026A,"Arroz com abobrinha, c/ óleo, cebola e alho, s/ sal","Rice with zucchini, with oil, onion and garlic, unsalted",,Cereais e derivados,
C0931A,"Arroz com alho poró, c/ arroz integral, s/ sal","Rice with celery, with brown rice, unsalted",,Cereais e derivados,
C0929A,"Arroz com alho poró, c/ arroz polido, c/ sal","Rice with celery, with white rice, with salt",,Cereais e derivados,
C0930A,"Arroz com alho poró, c/ arroz polido, s/ sal","Rice with celery, with white rice, unsalted",,Cereais e derivados,
C0547A,"Arroz com brócolis, c/ arroz integral, c/ sal","Rice with broccoli, with brown rice, with salt",,Cereais e derivados,
C0548A,"Arroz com brócolis, c/ arroz integral, s/ sal","Rice with broccoli, with brown rice, unsalted",,Cereais e derivados,
C0545A,"Arroz com brócolis, c/ arroz polido, c/ sal","Rice with broccoli, with white rice, with salt",,Cereais e derivados,
C0546A,"Arroz com brócolis, c/ arroz polido, s/ sal","Rice with broccoli, with white rice, unsalted",,Cereais e derivados,
C1029A,"Arroz com carne bovina, c/ arroz polido, c/ sal","Rice with meat beef, with white rice, with salt",,Cereais e derivados,
C1030A,"Arroz com carne bovina, c/ arroz polido, s/ sal","Rice with meat beef, with white rice, unsalted",,Cereais e derivados,
C1027A,"Arroz com cenoura, c/ óleo, cebola e alho, c/ sal","Rice with carrot, with oil, onion and garlic, with salt",,Cereais e derivados,
C1028A,"Arroz com cenoura, c/ óleo, cebola e alho, s/ sal","Rice with carrot, with oil, onion and garlic, unsalted",,Cereais e derivados,
C0539A,"Arroz com coco, c/ arroz polido, c/ sal","Rice with coconut, with white rice, with salt",,Cereais e derivados,
C0540A,"Arroz com coco, c/ arroz polido, s/ sal","Rice with coconut, with white rice, unsalted",,Cereais e derivados,
C0551A,"Arroz com couve, c/ arroz integral, c/ sal","Rice with collard green, with brown rice, with salt",,Cereais e derivados,
C0552A,"Arroz com couve, c/ arroz integral, s/ sal","Rice with kale, with collard green, with brown rice, unsalted",,Cereais e derivados,
C0549A,"Arroz com couve, c/ arroz polido, c/ sal","Rice with collard green, with white rice, with salt",,Cereais e derivados,
C0550A,"Arroz com couve, c/ arroz polido, s/ sal","Rice with collard green, with white rice, unsalted",,Cereais e derivados,
C0934A,"Arroz com espinafre, c/ arroz integral, c/ sal (arroz integral, espinafre, c/ óleo de soja, c/ sal)","Rice with spinach, with brown rice, with salt",,Cereais e derivados,
C0935A,"Arroz com espinafre, c/ arroz integral, s/ sal (arroz , alho espinafre, c/ óleo de soja, s/ sal)","Rice with spinach, with brown rice, unsalted",,Cereais e derivados,
C0932A,"Arroz com espinafre, c/ arroz polido, c/ sal (arroz polido, espinafre, c/ óleo de soja, c/ sal)","Rice with spinach, with white rice, with salt",,Cereais e derivados,
C0933A,"Arroz com espinafre, c/ arroz polido, s/ sal (arroz polido, espinafre, c/ óleo de soja, s/ sal)","Rice with spinach, with white rice, unsalted",,Cereais e derivados,
C0724A,"Arroz com frango e pequi, c/ arroz integral, c/ sal","Brazilian recipe, with brown rice, with salt",,Cereais e derivados,
C0725A,"Arroz com frango e pequi, c/ arroz integral, s/ sal","Brazilian recipe, with brown rice, unsalted",,Cereais e derivados,
C0722A,"Arroz com frango e pequi, c/ arroz polido, c/ sal","Brazilian recipe, with white rice, with salt",,Cereais e derivados,
C0723A,"Arroz com frango e pequi, c/ arroz polido, s/ sal","Brazilian recipe, with white rice, unsalted",,Cereais e derivados,
C0543A,"Arroz com frango, c/ arroz integral, c/ sal","Rice with chicken, with brown rice, with salt",,Cereais e derivados,
C0544A,"Arroz com frango, c/ arroz integral, s/ sal","Rice with chicken, with brown rice, unsalted",,Cereais e derivados,
C0541A,"Arroz com frango, c/ arroz polido, c/ sal","Rice with chicken, with white rice, with salt",,Cereais e derivados,
C0542A,"Arroz com frango, c/ arroz polido, s/ sal","Rice with chicken, with white rice, unsalted",,Cereais e derivados,
C0522A,"Arroz com frutos do mar, c/ arroz integral, c/ sal","Rice with seafood, with brown rice, with salt",,Cereais e derivados,
C0523A,"Arroz com frutos do mar, c/ arroz integral, s/ sal","Rice with seafood, with brown rice, unsalted",,Cereais e derivados,
C0520A,"Arroz com frutos do mar, c/ arroz polido, c/ sal","Rice with seafood, with white rice, with salt",,Cereais e derivados,
C0521A,"Arroz com frutos do mar, c/ arroz polido, s/ sal","Rice with seafood, whit white rice, unsalted",,Cereais e derivados,
C0720A,"Arroz com jambu, c/ arroz integral, c/ sal","Brazilian recipe, with brown rice, with salt",,Cereais e derivados,
C0721A,"Arroz com jambu, c/ arroz integral, s/ sal","Brazilian recipe, with brown rice, unsalted",,Cereais e derivados,
C0718A,"Arroz com jambu, c/ arroz polido, c/ sal","Brazilian recipe, with white rice, with salt",,Cereais e derivados,
C0719A,"Arroz com jambu, c/ arroz polido, s/ sal","Brazilian recipe, with white rice, unsalted",,Cereais e derivados,
C0526A,"Arroz com legumes, c/ arroz integral, c/ sal","Rice with vegetables, with brown rice, with salt",,Cereais e derivados,
C0527A,"Arroz com legumes, c/ arroz integral, s/ sal","Rice with vegetables, with brown rice, unsalted",,Cereais e derivados,
C0524A,"Arroz com legumes, c/ arroz polido, c/ sal","Rice with vegetables, with white rice, with salt",,Cereais e derivados,
C0525A,"Arroz com legumes, c/ arroz polido, s/ sal","Rice with vegetables, with white rice, unsalted",,Cereais e derivados,
C0528A,"Arroz com lentilha, c/ arroz polido, c/ sal","Rice with lentils, with white rice, with salt",,Cereais e derivados,
C0529A,"Arroz com lentilha, c/ arroz polido, s/ sal","Rice with lentils, with white rice, unsalted",,Cereais e derivados,
C0532A,"Arroz com linguiça, c/ arroz integral, c/ sal","Rice with sausage, with brown rice, with salt",,Cereais e derivados,
C0533A,"Arroz com linguiça, c/ arroz integral, s/ sal","Rice with sausage, with brown rice, unsalted",,Cereais e derivados,
C0530A,"Arroz com linguiça, c/ arroz polido, c/ sal","Rice with sausage, with white rice, with salt",,Cereais e derivados,
C0531A,"Arroz com linguiça, c/ arroz polido, s/ sal","Rice with sausage, with white rice, unsalted",,Cereais e derivados,
C0731A,"Arroz com macarrão (aletria, cabelo de anjo), c/ arroz polido, c/ sal","Rice with pasta (vermicelli), with white rice, with salt",,Cereais e derivados,
C0714A,"Arroz com mexilhão (marisco lambe-lambe), c/ arroz polido, c/ sal","Rice with mussel, with white rice, with salt",,Cereais e derivados,
C0715A,"Arroz com mexilhão (marisco lambe-lambe), c/ arroz polido, s/ sal","Rice with mussel, with white rice, unsalted",,Cereais e derivados,
C0534A,"Arroz com nozes, c/ arroz integral, c/ sal","Rice with nuts, with brown rice, with salt",,Cereais e derivados,
C0535A,"Arroz com nozes, c/ arroz integral, s/ sal","Rice with nuts, with brown rice, unsalted",,Cereais e derivados,
C0536A,"Arroz com nozes, c/ arroz polido, c/ sal","Rice with nuts, with white rice, with salt",,Cereais e derivados,
C0537A,"Arroz com nozes, c/ arroz polido, s/ sal","Rice with nuts, with white rice, unsalted",,Cereais e derivados,
C0518A,"Arroz com peixe, c/ arroz integral, c/ sal","Rice with fish, with brown rice, with salt",,Cereais e derivados,
C0519A,"Arroz com peixe, c/ arroz integral, s/ sal","Rice with fish, with brown rice, unsalted",,Cereais e derivados,
C0516A,"Arroz com peixe, c/ arroz polido, c/ sal","Rice with fish, with white rice, with salt",,Cereais e derivados,
C0517A,"Arroz com peixe, c/ arroz polido, s/ sal","Rice with fish, with white rice, unsalted",,Cereais e derivados,
C0728A,"Arroz com pequi, c/ arroz integral, c/ sal","Brazilian recipe, with brown rice, with salt",,Cereais e derivados,
C0729A,"Arroz com pequi, c/ arroz integral, s/ sal","Brazilian recipe, with brown rice, unsalted",,Cereais e derivados,
C0726A,"Arroz com pequi, c/ arroz polido, c/ sal","Brazilian recipe, with white rice, with salt",,Cereais e derivados,
C0727A,"Arroz com pequi, c/ arroz polido, s/ sal","Brazilian recipe, whit white rice, unsalted",,Cereais e derivados,
C0538A,"Arroz com salsicha, c/ arroz polido, c/ sal","Rice with frankfurter sausage, with white rice, with salt",,Cereais e derivados,
C0901A,"Arroz de coco, c/ arroz integral, c/ sal","Rice with coconut, with brown rice, with salt",,Cereais e derivados,
C0902A,"Arroz de coco, c/ arroz integral, s/ sal","Rice with coconut, with brown rice, unsalted",,Cereais e derivados,
C0505A,"Arroz de cuxá, c/ arroz polido, c/ sal","Brazilian recipe, with white rice, with salt",,Cereais e derivados,
C0555A,"Arroz de forno, c/ arroz integral, c/ sal","Brazilian recipe, with brown rice, with salt",,Cereais e derivados,
C0556A,"Arroz de forno, c/ arroz integral, s/ sal","Brazilian recipe, with brown rice, unsalted",,Cereais e derivados,
C0553A,"Arroz de forno, c/ arroz polido, c/ sal","Brazilian recipe, with white rice, with salt",,Cereais e derivados,
